uuid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
QXJ0aWNsZTphZGJlMDFmOS05ZGU1LTQ2MTQtYjk5ZS1lZjczMTMzZDk0OGM=,9.3972776e-05,0.037815668,9.504345e-05,0.071509406,8.2705046e-05,0.00011792064,0.00018673872,0.00016360448,0.00018715794,0.052734893,0.024389004,0.00010859061,0.00031152283,0.00016817659,0.00016155546,0.015794162,0.034736212,0.00015315744,0.00017231988,0.022559715,0.0003317977,0.5449334,0.00010687386,0.0151674375,0.00012939317,0.0001299664,0.000155166,0.17719138,9.936454e-05,0.00021374955
QXJ0aWNsZTo0MjQzY2NlNC0yNmUwLTQyOTItOGZmYy02MWJhMmFkNWZlNTY=,8.28765e-05,8.777411e-05,8.382074e-05,0.00028030813,7.2939256e-05,0.0001039966,0.00016468865,0.00014428611,0.00016505837,0.00014314732,0.00011375135,9.5768264e-05,0.00027472843,0.00014831834,0.00014247904,0.00011798777,0.00022816849,0.00013507264,0.00015197239,0.00016810624,0.00029261675,0.000102924954,9.4254225e-05,0.00010654585,0.9479858,0.00011462,0.00013684404,0.00010752303,0.047965057,0.00018850999
QXJ0aWNsZTp2eThBemx4,0.00032059368,0.00033953929,0.5509845,0.0010843368,0.00028215317,0.00040229323,0.00063707016,0.00055814633,0.0006385004,0.0005537412,0.12571375,0.0003704633,0.0010627519,0.00057374436,0.000551156,0.0004564157,0.0008826349,0.00052250567,0.00058787945,0.1801719,0.0011319108,0.00039814773,0.0003646065,0.00041215456,0.00044143246,0.00044338807,0.000529358,0.12851673,0.000338988,0.00072921906
QXJ0aWNsZTphMTY3M2QzOC0yM2JlLTRlNWEtOGE4ZC03ZWIxMTRkMDJiOTA=,5.632409e-05,5.9652582e-05,5.696581e-05,0.008615714,4.9570594e-05,0.007493339,0.00011192484,9.805897e-05,0.24506292,0.0026824067,0.009269641,6.508552e-05,0.17253724,0.000100799334,0.013626034,0.0019184548,0.00015506733,0.002910148,0.00010328268,0.018759826,0.00019887497,6.994932e-05,6.405656e-05,0.055938967,7.755387e-05,7.789744e-05,9.3001225e-05,0.42346358,5.955573e-05,0.03622409
QXJ0aWNsZTpkNjNjOGY2Mi0yYjQ2LTQ0MzEtYmM5ZC1iYWVlYmFlYjkzZTc=,8.391959e-05,8.887885e-05,0.016865399,0.0002838447,7.385728e-05,0.0092880195,0.00016676144,0.0001461021,0.014373495,0.06644819,0.029290702,9.6973614e-05,0.41160187,0.017372932,0.0001442723,0.00011947278,0.00023104069,0.00013677268,0.00015388514,0.083315976,0.009633599,0.00010422038,9.544052e-05,0.000107886844,0.00011555073,0.00011606262,0.00013856638,0.04092308,8.873454e-05,0.29839453
QXJ0aWNsZTo4NjAxMjk2YS1iYTE1LTQzZDUtYTRkYS05Nzk5MDlkYTIzZDE=,0.00023017748,0.34748897,0.03849704,0.0007785332,0.00020257823,0.08023083,0.0004573989,0.00040073378,0.03886846,0.00039757098,0.017249187,0.025898308,0.00076307793,0.0004119327,0.00039571492,0.00032769397,0.0006337053,0.008741856,0.00042208133,0.00046689072,0.0008126871,0.16341448,0.00026177746,0.0345532,0.0003169364,0.00031834046,0.0003800645,0.23631287,0.00024338409,0.00052355934
QXJ0aWNsZTpkYzZjZWM3MS1kNzE2LTQzNjQtYWUyMi1lMDRlNDZjMDAyNzc=,0.00013790213,0.0001460515,0.0001394733,0.0004664363,0.000121367084,0.00017304487,0.00027403326,0.00024008448,0.24043031,0.00023818962,0.00018927627,0.01777328,0.0004571474,0.0002467939,0.00023707762,0.00019632545,0.0003796622,0.00022475378,0.06387918,0.0002797199,0.0004869049,0.00017126171,0.00015683407,0.3905516,0.00018988046,0.037545007,0.0052981693,0.23823753,0.00014581437,0.0009869391
QXJ0aWNsZTo4NTY3NTRhNC1jNzgxLTRhZDEtYTNkZC0zODNjNzE0MjE0Y2Y=,5.353104e-05,0.009881061,5.414094e-05,0.0001810597,0.0034974741,0.02086397,0.00010637461,9.319633e-05,0.03290216,0.05288975,7.347352e-05,6.1858e-05,0.17054395,9.58008e-05,9.202912e-05,7.620988e-05,0.00014737851,8.724523e-05,9.8161e-05,0.00010858207,0.00018901777,0.022532405,6.0880066e-05,0.019097751,7.370806e-05,7.403459e-05,8.8389395e-05,0.64175856,5.660242e-05,0.024161238
QXJ0aWNsZTowN2FjZDQyMC02N2M5LTQwMjctOGYzNC1jMDk2YTVkZGVmYjQ=,0.0001487978,0.00015759106,0.00015049311,0.0005032798,0.00013095632,0.07128736,0.00029568467,0.03113789,0.0002963485,0.00025700903,0.20249331,0.00017194389,0.26969594,0.00026629315,0.07864741,0.00021183716,0.00040966072,0.00024251161,0.00027285368,0.060719576,0.0005253793,0.00018479313,0.00016922556,0.00019129414,0.00020488296,0.00020579061,0.000245692,0.018669834,0.00015733519,0.26194903
QXJ0aWNsZTo1YWZhNGVmNy1hMmE0LTRlZDAtYTllZS0yM2FmNjNiYzk4ODY=,4.3266133e-05,4.582296e-05,4.375908e-05,0.022987833,3.807834e-05,5.4291995e-05,8.597662e-05,7.5325355e-05,0.08832652,7.473085e-05,5.938452e-05,0.122751586,0.58058804,7.7430406e-05,7.438197e-05,6.159617e-05,0.041056924,7.0515416e-05,7.9338024e-05,0.009516573,0.028008882,0.0024105464,4.9205937e-05,5.5622848e-05,0.0052277497,5.9838003e-05,7.144018e-05,0.029870367,4.574856e-05,0.06808927
